Channel Id,Channel Url,Channel Title
UCbOX--VOebPe-MMRkatFRxw,http://www.youtube.com/channel/UCbOX--VOebPe-MMRkatFRxw,Cassie Kozyrkov
UCbxb2fqe9oNgglAoYqsYOtQ,http://www.youtube.com/channel/UCbxb2fqe9oNgglAoYqsYOtQ,Easy German
UCdEyrjKpBVXB_zL0YW69lAw,http://www.youtube.com/channel/UCdEyrjKpBVXB_zL0YW69lAw,Timothy Kang
UCeB_OpLspKJGiKv1CYkWFFw,http://www.youtube.com/channel/UCeB_OpLspKJGiKv1CYkWFFw,AJ&Smart
UCeiYXex_fwgYDonaTcSIk6w,http://www.youtube.com/channel/UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth
UCfi5E5X2FTSJWaBv2UzvUQA,http://www.youtube.com/channel/UCfi5E5X2FTSJWaBv2UzvUQA,Christian Li
UCftwRNsjfRo08xYE31tkiyw,http://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,WIRED
UCggHoXaj8BQHIiPmOxezeWA,http://www.youtube.com/channel/UCggHoXaj8BQHIiPmOxezeWA,History Buffs
UCgtOMaHBiYvsRYZ77utf8FQ,http://www.youtube.com/channel/UCgtOMaHBiYvsRYZ77utf8FQ,Eric Karlsson Bouldering
UCila6Nlcf99wrGs3qRX1nSA,http://www.youtube.com/channel/UCila6Nlcf99wrGs3qRX1nSA,All Climbing
UCjFqcJQXGZ6T6sxyFB-5i6A,http://www.youtube.com/channel/UCjFqcJQXGZ6T6sxyFB-5i6A,Every Frame a Painting
UCjjae93847ZdOM9FDpgGVRg,http://www.youtube.com/channel/UCjjae93847ZdOM9FDpgGVRg,Classics Explained
UCjq6e7k_pkOkrBD2Qieqxnw,http://www.youtube.com/channel/UCjq6e7k_pkOkrBD2Qieqxnw,Wide Boyz
UCk8cfDW244sbkf7AVhB2W1A,http://www.youtube.com/channel/UCk8cfDW244sbkf7AVhB2W1A,Chris Hallbeck
UCkAPNeraPW-KGvJemx0TjGQ,http://www.youtube.com/channel/UCkAPNeraPW-KGvJemx0TjGQ,プロクライマー 原田海 / Kai Harada
UCkIccKaHDGA8lYVmUerLhag,http://www.youtube.com/channel/UCkIccKaHDGA8lYVmUerLhag,Krita
UCkjIEryK1eGGjNlDwuciYuw,http://www.youtube.com/channel/UCkjIEryK1eGGjNlDwuciYuw,DataVizDC
UClAWE1K1CjJqsEu_PgERyXg,http://www.youtube.com/channel/UClAWE1K1CjJqsEu_PgERyXg,OnlineObservation
UClsxAFg20PGZTLzSf1OWcQA,http://www.youtube.com/channel/UClsxAFg20PGZTLzSf1OWcQA,Project Pinch 
UCmCSmk9XZfrxMpTMOhLYJkg,http://www.youtube.com/channel/UCmCSmk9XZfrxMpTMOhLYJkg,Baby Harp Seal ch
UCnbbOxqwPK2lfkEP3FzIf2Q,http://www.youtube.com/channel/UCnbbOxqwPK2lfkEP3FzIf2Q,Hard Is Easy
UCnjTK_woY8DUgXeVQLgug9A,http://www.youtube.com/channel/UCnjTK_woY8DUgXeVQLgug9A,JMSCA Competition TV
UCpVm7bg6pXKo1Pr6k5kxG9A,http://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic
UCr1fdFXztwacnJ206hMgG7w,http://www.youtube.com/channel/UCr1fdFXztwacnJ206hMgG7w,Cas van de Pol
UCsqZk5V2d44TNLRFSI5aVfg,http://www.youtube.com/channel/UCsqZk5V2d44TNLRFSI5aVfg,Hooper's Beta
UCtKpjSIjJFS4CZiPhbdHFQA,http://www.youtube.com/channel/UCtKpjSIjJFS4CZiPhbdHFQA,Stefano Ghisolfi
UCvjgXvBlbQiydffZU7m1_aw,http://www.youtube.com/channel/UCvjgXvBlbQiydffZU7m1_aw,The Coding Train
UCwg6_F2hDHYrqbNSGjmar4w,http://www.youtube.com/channel/UCwg6_F2hDHYrqbNSGjmar4w,Animalogic
UCwmZiChSryoWQCZMIQezgTg,http://www.youtube.com/channel/UCwmZiChSryoWQCZMIQezgTg,BBC Earth
UCx0L2ZdYfiq-tsAXb8IXpQg,http://www.youtube.com/channel/UCx0L2ZdYfiq-tsAXb8IXpQg,Just Write
UCx3XxWczzWgm1bLmgdeQJMw,http://www.youtube.com/channel/UCx3XxWczzWgm1bLmgdeQJMw,TAMY Climbing Channel





